ID_pieza,ID_pedido,Cantidad
piezSie879NgHer,pedi677691,10
piezPin071NgCos,pedi677691,1
piezImp826NgInf,pedi677691,8
piezAur997MrInf,pedi677691,9
piezPor131AzInf,pedi677691,7
piezPor131AzInf,pedi677691,6
piezSil957BlMob,pedi677691,8
piezSil048NaMob,pedi677691,2
piezHil739RjMer,pedi677691,10
piezAur997MrInf,pedi677691,7
piezCab198NgInf,pedi677691,3
piezPin071NgCos,pedi677691,4
piezHil739RjMer,pedi677691,3
piezRat292AmInf,pedi677691,7
piezMdn355NgMob,pedi677691,4
piezCre369RsCos,pedi677691,9
piezPer368NaCos,pedi677691,8
piezRat292AmInf,pedi677691,1
piezCla073AzCon,pedi677691,8
piezAzu454AmCon,pedi677691,4
piezCar392NaAli,pedi677691,3
piezAzu454AmCon,pedi677691,5
piezGaR740NgInf,pedi677691,3
piezSof755AzMob,pedi677691,2
piezImp826NgInf,pedi677691,2
piezCem010MoCon,pedi677691,7
piezEst491NgMob,pedi677691,1
piezDes350VeHer,pedi677691,2
piezTec974RsInf,pedi677691,4
piezAur997MrInf,pedi677691,7
piezSof755AzMob,pedi677691,6
piezCae620NaCon,pedi677691,7
piezPor131AzInf,pedi677691,1
piezVer249RsAli,pedi677691,2
piezSof755AzMob,pedi677691,7
piezCam667NgMob,pedi677691,10
piezCam667NgMob,pedi677691,7
piezMes484NaMob,pedi677691,2
piezAur997MrInf,pedi677691,6
piezNiv200MrHer,pedi677691,7
piezYes811VeCon,pedi677691,2
piezAzu454AmCon,pedi677691,5
piezArm681MrMob,pedi677691,3
piezCom925BlInf,pedi677691,5
piezCim591VeHer,pedi677691,10
piezMon404NaInf,pedi677691,2
piezPor131AzInf,pedi677691,10
piezCam667NgMob,pedi677691,5
piezArm681MrMob,pedi677691,10
piezTec974RsInf,pedi677691,10
piezSna300MoAli,pedi677691,3
piezMaq810VeCos,pedi677691,6
piezAgu185BlMer,pedi677691,2
piezPes833NaAli,pedi677691,5
piezTij892RsMer,pedi677691,5
piezYes811VeCon,pedi677691,7
piezCin152RjMer,pedi677691,6
piezSie879NgHer,pedi677691,3
piezEdu399AzCos,pedi677691,1
piezVer249RsAli,pedi677691,8
piezCom925BlInf,pedi677691,4
piezNiv200MrHer,pedi677691,1
piezHil739RjMer,pedi677691,4
piezSil957BlMob,pedi677691,3
piezAce580VeCos,pedi677691,9
piezPeg533AzMer,pedi677691,1
piezLoc517MrCos,pedi677691,9
piezCla073AzCon,pedi677691,4
piezPre373AzAli,pedi677691,5
piezLij081RsHer,pedi677691,6
piezArm681MrMob,pedi677691,4
piezPin071NgCos,pedi677691,9
piezDul237NaAli,pedi677691,8
piezPaf572NgAli,pedi677691,10
piezLác034MoAli,pedi677691,10
piezBdm865NgCos,pedi677691,2
piezPaf572NgAli,pedi677691,10
piezPes833NaAli,pedi638268,4
piezCin527NgHer,pedi638268,2
piezCin152RjMer,pedi638268,3
piezPes833NaAli,pedi638268,7
piezMar824AmHer,pedi638268,9
piezMon404NaInf,pedi638268,6
piezCam667NgMob,pedi638268,3
piezMaq810VeCos,pedi638268,1
piezLám826AmMob,pedi638268,7
piezEsc048RsMob,pedi638268,5
piezYes811VeCon,pedi638268,7
piezMaq810VeCos,pedi638268,2
piezAce580VeCos,pedi638268,4
piezYes811VeCon,pedi638268,2
piezLoc517MrCos,pedi638268,1
piezCab198NgInf,pedi638268,6
piezGaR740NgInf,pedi638268,9
piezCim591VeHer,pedi638268,4
piezEsc048RsMob,pedi638268,7
piezMaq810VeCos,pedi638268,4
piezSof755AzMob,pedi638268,8
piezSil048NaMob,pedi638268,10
piezPaf572NgAli,pedi638268,8
piezPin071NgCos,pedi638268,5
piezMar824AmHer,pedi638268,5
piezBeb062AzAli,pedi638268,5
piezPaf572NgAli,pedi638268,9
piezSof755AzMob,pedi638268,6
piezEsc048RsMob,pedi638268,9
piezPor131AzInf,pedi638268,2
piezLdm025NgCon,pedi638268,3
piezHil739RjMer,pedi638268,10
piezEst491NgMob,pedi638268,7
piezPre373AzAli,pedi638268,8
piezCab198NgInf,pedi638268,1
piezSof755AzMob,pedi638268,7
piezHdc064BlCon,pedi638268,6
piezFru544MoAli,pedi638268,2
piezPCs508MrInf,pedi638268,2
piezCab198NgInf,pedi638268,2
piezAgu185BlMer,pedi638268,6
piezLác034MoAli,pedi638268,3
piezCre369RsCos,pedi638268,5
piezPin770MrHer,pedi638268,8
piezCre224NaMer,pedi638268,1
piezCre224NaMer,pedi638268,3
piezFru544MoAli,pedi638268,10
piezTij892RsMer,pedi638268,10
piezCam667NgMob,pedi638268,9
piezCom925BlInf,pedi638268,9
piezCin811RsMer,pedi638268,9
piezYes811VeCon,pedi638268,10
piezCom925BlInf,pedi638268,4
piezBeb062AzAli,pedi638268,2
piezDul237NaAli,pedi638268,3
piezArm681MrMob,pedi638268,10
piezAgu185BlMer,pedi638268,1
piezArm681MrMob,pedi638268,2
piezAzu454AmCon,pedi638268,4
piezBot384MoMer,pedi638268,2
piezTdP240VeCon,pedi638268,5
piezSil048NaMob,pedi638268,5
piezImp826NgInf,pedi638268,10
piezPer368NaCos,pedi638268,3
piezMaq810VeCos,pedi638268,5
piezMar824AmHer,pedi638268,7
piezCim591VeHer,pedi638268,10
piezFru544MoAli,pedi638268,2
piezEdu399AzCos,pedi638268,3
piezCre224NaMer,pedi638268,7
piezCin811RsMer,pedi638268,2
piezAgu185BlMer,pedi638268,4
piezPin635NgCon,pedi638268,3
piezImp826NgInf,pedi638268,8
piezPor131AzInf,pedi638268,3
piezBeb062AzAli,pedi638268,1
piezSil957BlMob,pedi638268,9
piezCre369RsCos,pedi638268,8
piezGaR740NgInf,pedi638268,1
piezAce580VeCos,pedi638268,9
piezSna300MoAli,pedi638268,6
piezCab198NgInf,pedi638268,9
piezTij892RsMer,pedi638268,4
piezMon404NaInf,pedi638268,4
piezTec974RsInf,pedi638268,1
piezSie879NgHer,pedi638268,8
piezTij892RsMer,pedi638268,2
piezCab198NgInf,pedi638268,7
piezEdu399AzCos,pedi638268,3
piezCre369RsCos,pedi638268,4
piezPes833NaAli,pedi638268,7
piezSna300MoAli,pedi638268,7
piezSil048NaMob,pedi638268,1
piezAur997MrInf,pedi638268,1
piezRat292AmInf,pedi638268,5
piezPes833NaAli,pedi638268,5
piezCim591VeHer,pedi638268,7
piezSie879NgHer,pedi638268,2
piezTdP240VeCon,pedi638268,10
piezCim591VeHer,pedi638268,10
piezBeb062AzAli,pedi638268,6
piezAgu185BlMer,pedi638268,7
piezAzu454AmCon,pedi638268,8
piezEsc048RsMob,pedi638268,3
piezVer249RsAli,pedi638268,6
piezCem010MoCon,pedi638268,10
piezCab198NgInf,pedi638268,7
piezTal276BlHer,pedi638268,3
piezMaf552MoCos,pedi638268,10
piezBot384MoMer,pedi638268,1
piezPer368NaCos,pedi638268,4
piezPCs508MrInf,pedi638268,9
piezPin071NgCos,pedi638268,1
piezCin527NgHer,pedi638268,6
piezLác034MoAli,pedi638268,10
piezRat292AmInf,pedi782944,5
piezLám826AmMob,pedi782944,9
piezLdm025NgCon,pedi782944,5
piezBdm865NgCos,pedi782944,2
piezDes350VeHer,pedi782944,3
piezHdc064BlCon,pedi782944,1
piezBeb062AzAli,pedi782944,7
piezEst491NgMob,pedi782944,4
piezAgu185BlMer,pedi782944,1
piezEdu399AzCos,pedi782944,8
piezPCs508MrInf,pedi782944,1
piezDul237NaAli,pedi782944,2
piezCem010MoCon,pedi782944,10
piezEst491NgMob,pedi782944,7
piezBdm865NgCos,pedi782944,7
piezCin152RjMer,pedi782944,7
piezBeb062AzAli,pedi782944,5
piezSie879NgHer,pedi782944,6
piezLad786MrCon,pedi782944,6
piezPin071NgCos,pedi782944,2
piezLla553MrHer,pedi782944,10
piezDes350VeHer,pedi782944,3
piezAzu454AmCon,pedi782944,5
piezCla073AzCon,pedi782944,8
piezPes833NaAli,pedi782944,9
piezCar392NaAli,pedi782944,8
piezCim591VeHer,pedi782944,6
piezSil957BlMob,pedi782944,6
piezSna300MoAli,pedi782944,3
piezTij892RsMer,pedi782944,7
piezPin770MrHer,pedi782944,1
piezPre373AzAli,pedi782944,5
piezBot384MoMer,pedi782944,10
piezDes350VeHer,pedi782944,10
piezLám826AmMob,pedi782944,9
piezTal276BlHer,pedi782944,5
piezTec974RsInf,pedi782944,6
piezLla553MrHer,pedi782944,3
piezSil048NaMob,pedi782944,5
piezCar392NaAli,pedi782944,1
piezPin770MrHer,pedi782944,6
piezPin071NgCos,pedi782944,4
piezEsc048RsMob,pedi782944,10
piezPaf572NgAli,pedi782944,10
piezSna300MoAli,pedi782944,9
piezAce580VeCos,pedi782944,9
piezTal276BlHer,pedi782944,2
piezSie879NgHer,pedi782944,10
piezPeg533AzMer,pedi782944,3
piezPin635NgCon,pedi782944,2
piezArm681MrMob,pedi782944,9
piezYes811VeCon,pedi782944,10
piezPer368NaCos,pedi782944,6
piezTdP240VeCon,pedi782944,7
piezHdc064BlCon,pedi782944,6
piezBdm865NgCos,pedi782944,4
piezPre373AzAli,pedi782944,3
piezMes484NaMob,pedi782944,9
piezYes811VeCon,pedi782944,8
piezPes833NaAli,pedi782944,10
piezLad786MrCon,pedi782944,5
piezSna300MoAli,pedi162868,2
piezMaf552MoCos,pedi162868,10
piezCla073AzCon,pedi162868,3
piezPes833NaAli,pedi162868,1
piezTal276BlHer,pedi162868,10
piezFru544MoAli,pedi162868,2
piezNiv200MrHer,pedi162868,3
piezCae620NaCon,pedi162868,7
piezMdn355NgMob,pedi162868,4
piezHil739RjMer,pedi162868,9
piezSie879NgHer,pedi162868,6
piezBot384MoMer,pedi162868,1
piezMdn355NgMob,pedi162868,8
piezBot384MoMer,pedi162868,4
piezMon404NaInf,pedi162868,4
piezMdn355NgMob,pedi162868,10
piezLác034MoAli,pedi162868,1
piezLad786MrCon,pedi162868,2
piezPre373AzAli,pedi162868,8
piezCae620NaCon,pedi162868,2
piezSil957BlMob,pedi162868,8
piezCin811RsMer,pedi162868,6
piezCin527NgHer,pedi162868,6
piezNiv200MrHer,pedi162868,2
piezCam667NgMob,pedi162868,7
piezPeg533AzMer,pedi162868,6
piezSil048NaMob,pedi162868,4
piezSna300MoAli,pedi162868,4
piezPin635NgCon,pedi162868,1
piezMar824AmHer,pedi162868,2
piezCha602AzCos,pedi162868,1
piezArm681MrMob,pedi162868,2
piezTdP240VeCon,pedi162868,9
piezPre373AzAli,pedi162868,1
piezSil048NaMob,pedi162868,5
piezLla553MrHer,pedi162868,7
piezGaR740NgInf,pedi162868,4
piezPeg533AzMer,pedi162868,3
piezPor131AzInf,pedi162868,7
piezEsc048RsMob,pedi162868,6
piezPor131AzInf,pedi162868,9
piezPin071NgCos,pedi162868,5
piezEnc982AzMer,pedi162868,1
piezPaf572NgAli,pedi162868,6
piezDes350VeHer,pedi162868,6
piezPre373AzAli,pedi162868,10
piezCha602AzCos,pedi162868,8
piezAgu185BlMer,pedi162868,4
piezPeg533AzMer,pedi162868,2
piezTij892RsMer,pedi162868,1
piezSie879NgHer,pedi162868,9
piezMar824AmHer,pedi162868,9
piezCom925BlInf,pedi162868,8
piezTdP240VeCon,pedi162868,1
piezCom925BlInf,pedi162868,10
piezAce580VeCos,pedi162868,6
piezPCs508MrInf,pedi162868,9
piezLla553MrHer,pedi162868,8
piezBot384MoMer,pedi162868,10
piezPer368NaCos,pedi162868,3
piezTij892RsMer,pedi162868,4
piezMaq810VeCos,pedi162868,1
piezImp826NgInf,pedi162868,10
piezCin527NgHer,pedi162868,7
piezPin071NgCos,pedi162868,6
piezLdm025NgCon,pedi162868,5
piezImp826NgInf,pedi162868,9
piezMdn355NgMob,pedi162868,1
piezCar392NaAli,pedi162868,2
piezSie879NgHer,pedi162868,10
piezCab198NgInf,pedi162868,8
piezCab198NgInf,pedi162868,2
piezBot384MoMer,pedi162868,3
piezCin152RjMer,pedi162868,7
piezTdP240VeCon,pedi162868,1
piezDes350VeHer,pedi162868,4
piezPCs508MrInf,pedi162868,7
piezVer249RsAli,pedi162868,10
piezMar824AmHer,pedi162868,9
piezSil048NaMob,pedi162868,7
piezCar392NaAli,pedi162868,5
piezCin527NgHer,pedi162868,4
piezCla073AzCon,pedi162868,9
piezCim591VeHer,pedi162868,5
piezTal276BlHer,pedi162868,9
piezCha602AzCos,pedi162868,1
piezAgu185BlMer,pedi162868,5
piezBeb062AzAli,pedi162868,5
piezHdc064BlCon,pedi162868,8
piezMaq810VeCos,pedi162868,1
piezCar392NaAli,pedi162868,9
piezCae620NaCon,pedi162868,1
piezEsc048RsMob,pedi162868,10
piezMaq810VeCos,pedi162868,2
piezCar392NaAli,pedi162868,6
piezPeg533AzMer,pedi162868,1
piezPer368NaCos,pedi162868,8
piezYes811VeCon,pedi162868,1
piezRat292AmInf,pedi162868,5
piezPCs508MrInf,pedi702682,4
piezHdc064BlCon,pedi702682,10
piezAzu454AmCon,pedi702682,2
piezPor131AzInf,pedi702682,10
piezGaR740NgInf,pedi702682,2
piezMdn355NgMob,pedi702682,9
piezTel914NaMer,pedi702682,7
piezCae620NaCon,pedi702682,2
piezLad786MrCon,pedi702682,5
piezPre373AzAli,pedi702682,1
piezAzu454AmCon,pedi702682,8
piezDes350VeHer,pedi702682,4
piezLij081RsHer,pedi702682,3
piezCre224NaMer,pedi702682,7
piezLác034MoAli,pedi702682,8
piezSna300MoAli,pedi702682,9
piezEdu399AzCos,pedi702682,9
piezSof755AzMob,pedi702682,6
piezDes350VeHer,pedi702682,10
piezTal276BlHer,pedi702682,7
piezTal276BlHer,pedi702682,5
piezDul237NaAli,pedi702682,2
piezFru544MoAli,pedi702682,5
piezCha602AzCos,pedi702682,6
piezPre373AzAli,pedi702682,9
piezImp826NgInf,pedi702682,6
piezFru544MoAli,pedi702682,9
piezCar392NaAli,pedi702682,4
piezLad786MrCon,pedi702682,4
piezMon404NaInf,pedi702682,5
piezTij892RsMer,pedi702682,4
piezSna300MoAli,pedi702682,1
piezGaR740NgInf,pedi702682,6
piezEsc048RsMob,pedi702682,1
piezCin152RjMer,pedi702682,8
piezPer368NaCos,pedi702682,5
piezSna300MoAli,pedi702682,9
piezRat292AmInf,pedi702682,10
piezPer368NaCos,pedi702682,1
piezTec974RsInf,pedi702682,6
piezCae620NaCon,pedi702682,9
piezPes833NaAli,pedi702682,5
piezMar824AmHer,pedi702682,9
piezRat292AmInf,pedi702682,9
piezLad786MrCon,pedi702682,2
piezMdn355NgMob,pedi702682,9
piezNiv200MrHer,pedi702682,9
piezPor131AzInf,pedi702682,3
piezSil048NaMob,pedi702682,4
piezLác034MoAli,pedi702682,6
piezPre373AzAli,pedi702682,4
piezLác034MoAli,pedi702682,1
piezCre369RsCos,pedi702682,8
piezFru544MoAli,pedi702682,10
piezPer368NaCos,pedi702682,8
piezHdc064BlCon,pedi702682,10
piezNiv200MrHer,pedi702682,7
piezDes350VeHer,pedi702682,10
piezLdm025NgCon,pedi702682,7
piezImp826NgInf,pedi702682,6
piezTec974RsInf,pedi702682,2
piezAzu454AmCon,pedi702682,10
piezHil739RjMer,pedi702682,7
piezPer368NaCos,pedi702682,2
piezLoc517MrCos,pedi702682,6
piezTij892RsMer,pedi702682,2
piezTdP240VeCon,pedi702682,1
piezHdc064BlCon,pedi702682,7
piezEdu399AzCos,pedi702682,3
piezCom925BlInf,pedi702682,6
piezPin635NgCon,pedi702682,2
piezLoc517MrCos,pedi702682,10
piezSil048NaMob,pedi702682,2
piezBdm865NgCos,pedi702682,9
piezTal276BlHer,pedi702682,7
piezCin527NgHer,pedi702682,1
piezEsc048RsMob,pedi702682,10
piezCha602AzCos,pedi702682,7
piezLij081RsHer,pedi702682,5
piezPes833NaAli,pedi702682,4
piezPeg533AzMer,pedi702682,2
piezEdu399AzCos,pedi702682,1
piezTdP240VeCon,pedi702682,5
piezEdu399AzCos,pedi702682,7
piezLdm025NgCon,pedi702682,5
piezCar392NaAli,pedi702682,5
piezPaf572NgAli,pedi702682,3
piezEdu399AzCos,pedi702682,9
piezNiv200MrHer,pedi702682,9
piezCin811RsMer,pedi702682,4
piezGaR740NgInf,pedi702682,5
piezCla073AzCon,pedi702682,5
piezBdm865NgCos,pedi702682,8
piezTel914NaMer,pedi702682,1
piezTal276BlHer,pedi702682,3
piezYes811VeCon,pedi702682,9
piezLoc517MrCos,pedi702682,3
piezBot384MoMer,pedi702682,2
piezTij892RsMer,pedi702682,9
piezSna300MoAli,pedi479404,6
piezAur997MrInf,pedi479404,1
piezSil957BlMob,pedi479404,2
piezCin152RjMer,pedi479404,8
piezArm681MrMob,pedi479404,2
piezTij892RsMer,pedi479404,10
piezYes811VeCon,pedi479404,7
piezGaR740NgInf,pedi479404,2
piezCha602AzCos,pedi479404,7
piezCre224NaMer,pedi479404,5
piezLoc517MrCos,pedi479404,1
piezCom925BlInf,pedi479404,2
piezMaq810VeCos,pedi479404,1
piezCab198NgInf,pedi479404,1
piezSie879NgHer,pedi479404,9
piezLdm025NgCon,pedi479404,5
piezHdc064BlCon,pedi479404,8
piezImp826NgInf,pedi479404,10
piezDes350VeHer,pedi479404,5
piezCre224NaMer,pedi479404,10
piezEst491NgMob,pedi479404,6
piezEst491NgMob,pedi479404,3
piezAur997MrInf,pedi479404,2
piezLij081RsHer,pedi479404,3
piezCar392NaAli,pedi479404,1
piezBdm865NgCos,pedi479404,1
piezNiv200MrHer,pedi479404,7
piezPin635NgCon,pedi479404,3
piezLij081RsHer,pedi479404,5
piezPer368NaCos,pedi479404,2
piezAce580VeCos,pedi479404,1
piezPeg533AzMer,pedi479404,8
piezMar824AmHer,pedi479404,2
piezPCs508MrInf,pedi479404,2
piezCin152RjMer,pedi479404,5
piezTij892RsMer,pedi479404,7
piezNiv200MrHer,pedi479404,4
piezLla553MrHer,pedi479404,4
piezCem010MoCon,pedi479404,10
piezCam667NgMob,pedi479404,8
piezCre224NaMer,pedi479404,6
piezMaq810VeCos,pedi479404,9
piezMon404NaInf,pedi479404,5
piezHil739RjMer,pedi479404,4
piezAgu185BlMer,pedi479404,10
piezGaR740NgInf,pedi479404,7
piezBdm865NgCos,pedi479404,9
piezSil048NaMob,pedi479404,2
piezLla553MrHer,pedi479404,6
piezCam667NgMob,pedi479404,4
piezLác034MoAli,pedi479404,5
piezTel914NaMer,pedi479404,2
piezTdP240VeCon,pedi479404,7
piezCam667NgMob,pedi479404,1
piezEst491NgMob,pedi479404,6
piezLoc517MrCos,pedi479404,8
piezCab198NgInf,pedi479404,2
piezPre373AzAli,pedi479404,7
piezYes811VeCon,pedi479404,7
piezLác034MoAli,pedi479404,9
piezLad786MrCon,pedi479404,10
piezCae620NaCon,pedi479404,2
piezLoc517MrCos,pedi479404,3
piezAce580VeCos,pedi479404,4
piezFru544MoAli,pedi479404,1
piezCam667NgMob,pedi479404,6
piezRat292AmInf,pedi479404,7
piezTec974RsInf,pedi479404,4
piezCem010MoCon,pedi479404,10
piezSil048NaMob,pedi479404,4
piezPeg533AzMer,pedi479404,5
piezLij081RsHer,pedi479404,7
piezDes350VeHer,pedi479404,1
piezBdm865NgCos,pedi479404,6
piezLij081RsHer,pedi479404,1
piezCem010MoCon,pedi479404,3
piezPor131AzInf,pedi479404,7
piezSof755AzMob,pedi479404,4
piezEdu399AzCos,pedi479404,6
piezPer368NaCos,pedi479404,7
piezLad786MrCon,pedi479404,9
piezFru544MoAli,pedi479404,2
piezMaq810VeCos,pedi479404,2
piezSna300MoAli,pedi479404,10
piezBot384MoMer,pedi479404,6
piezMdn355NgMob,pedi479404,10
piezSil048NaMob,pedi479404,3
piezHil739RjMer,pedi479404,2
piezAzu454AmCon,pedi479404,1
piezSie879NgHer,pedi479404,9
piezAzu454AmCon,pedi479404,10
piezLla553MrHer,pedi479404,8
piezPes833NaAli,pedi479404,4
piezMes484NaMob,pedi479404,7
piezMdn355NgMob,pedi479404,2
piezCre369RsCos,pedi479404,4
piezSie879NgHer,pedi479404,3
piezCla073AzCon,pedi479404,6
piezSna300MoAli,pedi479404,8
piezTal276BlHer,pedi479404,5
piezSof755AzMob,pedi479404,5
piezLdm025NgCon,pedi479404,7
piezCab198NgInf,pedi479404,3
piezLad786MrCon,pedi479404,3
piezLoc517MrCos,pedi479404,7
piezPor131AzInf,pedi479404,7
piezCin152RjMer,pedi479404,9
piezLám826AmMob,pedi479404,10
piezPCs508MrInf,pedi479404,7
piezVer249RsAli,pedi479404,7
piezSil957BlMob,pedi479404,3
piezSna300MoAli,pedi479404,6
piezEst491NgMob,pedi479404,1
piezAgu185BlMer,pedi479404,2
piezLám826AmMob,pedi479404,10
piezTij892RsMer,pedi479404,4
piezEst491NgMob,pedi479404,6
piezCab198NgInf,pedi479404,7
piezCre224NaMer,pedi479404,4
piezImp826NgInf,pedi782944,5
piezSof755AzMob,pedi782944,4
piezLác034MoAli,pedi782944,7
piezLám826AmMob,pedi782944,10
piezSie879NgHer,pedi782944,9
piezLdm025NgCon,pedi782944,7
piezSil957BlMob,pedi782944,5
piezCha602AzCos,pedi782944,7
piezAgu185BlMer,pedi782944,3
piezGaR740NgInf,pedi782944,6
piezEsc048RsMob,pedi782944,8
piezBdm865NgCos,pedi479404,5
piezRat292AmInf,pedi677691,10
piezCin152RjMer,pedi677691,6
piezTal276BlHer,pedi677691,8
piezBdm865NgCos,pedi677691,1
piezLad786MrCon,pedi677691,2
piezLác034MoAli,pedi677691,5
piezCam667NgMob,pedi677691,1
piezPin071NgCos,pedi226345,10
piezImp826NgInf,pedi226345,6
piezCre224NaMer,pedi226345,9
piezDes350VeHer,pedi226345,6
piezLla553MrHer,pedi226345,6
piezCre224NaMer,pedi226345,1
piezMes484NaMob,pedi226345,9
piezEdu399AzCos,pedi226345,3
piezCla073AzCon,pedi226345,9
piezMes484NaMob,pedi226345,2
piezAur997MrInf,pedi226345,8
piezSie879NgHer,pedi226345,9
piezHdc064BlCon,pedi226345,10
piezCin527NgHer,pedi226345,9
piezBot384MoMer,pedi226345,1
piezCab198NgInf,pedi226345,10
piezCla073AzCon,pedi226345,5
piezFru544MoAli,pedi226345,10
piezLoc517MrCos,pedi226345,7
piezSof755AzMob,pedi226345,6
piezCar392NaAli,pedi226345,9
piezBeb062AzAli,pedi226345,6
piezArm681MrMob,pedi226345,9
piezSil048NaMob,pedi226345,2
piezGaR740NgInf,pedi226345,10
piezAce580VeCos,pedi226345,5
piezPaf572NgAli,pedi226345,5
piezYes811VeCon,pedi226345,1
piezPaf572NgAli,pedi226345,6
piezRat292AmInf,pedi226345,1
piezPes833NaAli,pedi226345,1
piezEnc982AzMer,pedi226345,3
piezEdu399AzCos,pedi226345,10
piezLdm025NgCon,pedi226345,5
piezVer249RsAli,pedi226345,1
piezMar824AmHer,pedi226345,8
piezPeg533AzMer,pedi226345,7
piezLám826AmMob,pedi226345,5
piezTal276BlHer,pedi226345,2
piezMdn355NgMob,pedi226345,1
piezDul237NaAli,pedi226345,1
piezBeb062AzAli,pedi226345,10
piezPin635NgCon,pedi226345,10
piezRat292AmInf,pedi226345,2
piezTec974RsInf,pedi226345,7
piezCem010MoCon,pedi226345,4
piezCom925BlInf,pedi677691,5
piezSil957BlMob,pedi677691,4
piezImp826NgInf,pedi677691,4
piezLdm025NgCon,pedi677691,10
piezCla073AzCon,pedi677691,9
piezLad786MrCon,pedi677691,2
piezCla073AzCon,pedi677691,8
piezSil048NaMob,pedi677691,8
piezHil739RjMer,pedi677691,7
piezTdP240VeCon,pedi677691,3
piezLác034MoAli,pedi677691,7
piezAur997MrInf,pedi677691,2
piezCar392NaAli,pedi677691,10
piezGaR740NgInf,pedi677691,3
piezSil048NaMob,pedi677691,7
piezMdn355NgMob,pedi677691,10
piezCae620NaCon,pedi677691,4
piezCab198NgInf,pedi677691,7
piezPin635NgCon,pedi677691,9
piezPin071NgCos,pedi677691,9
piezBot384MoMer,pedi677691,9
piezLdm025NgCon,pedi677691,1
piezTel914NaMer,pedi677691,10
piezMaq810VeCos,pedi677691,5
piezPCs508MrInf,pedi677691,7
piezAgu185BlMer,pedi677691,8
piezCin152RjMer,pedi677691,5
piezLla553MrHer,pedi677691,10
piezCom925BlInf,pedi677691,9
piezMon404NaInf,pedi677691,6
piezBot384MoMer,pedi677691,7
piezMes484NaMob,pedi677691,5
piezMdn355NgMob,pedi677691,9
piezTec974RsInf,pedi677691,9
piezLoc517MrCos,pedi677691,2
piezCae620NaCon,pedi677691,5
piezAur997MrInf,pedi677691,8
piezCar392NaAli,pedi677691,10
piezMes484NaMob,pedi677691,1
piezPin770MrHer,pedi677691,4
piezEst491NgMob,pedi677691,6
piezCla073AzCon,pedi677691,8
piezBot384MoMer,pedi677691,5
piezMar824AmHer,pedi677691,3
piezFru544MoAli,pedi677691,7
piezNiv200MrHer,pedi677691,10
piezSof755AzMob,pedi677691,10
piezLám826AmMob,pedi677691,2
piezTij892RsMer,pedi677691,8
piezFru544MoAli,pedi677691,4
piezMes484NaMob,pedi677691,10
piezLác034MoAli,pedi677691,10
piezLdm025NgCon,pedi677691,2
piezTal276BlHer,pedi677691,4
piezHdc064BlCon,pedi677691,4
piezAur997MrInf,pedi677691,10
piezPes833NaAli,pedi677691,4
piezPin770MrHer,pedi677691,7
piezTal276BlHer,pedi677691,8
piezLác034MoAli,pedi677691,6
piezAce580VeCos,pedi677691,8
piezLoc517MrCos,pedi677691,7
piezLdm025NgCon,pedi677691,2
piezBot384MoMer,pedi677691,2
piezRat292AmInf,pedi677691,3
piezCim591VeHer,pedi677691,1
piezCre224NaMer,pedi677691,5
piezCla073AzCon,pedi677691,8
piezMar824AmHer,pedi677691,7
piezTdP240VeCon,pedi677691,7
piezPin770MrHer,pedi677691,10
piezMar824AmHer,pedi677691,10
